model,SPSR_correct,SPSR_total,SPSR_ratio,SPMR_correct,SPMR_total,SPMR_ratio,MPMR_correct,MPMR_total,MPMR_ratio,ALL_correct,ALL_total,ALL_ratio
kimi-k2.5.dedup,534,709,0.7531734837799718,376,524,0.7175572519083969,194,302,0.6423841059602649,1104,1535,0.7192182410423453
kimi-k2.5,534,709,0.7531734837799718,376,524,0.7175572519083969,194,302,0.6423841059602649,1104,1535,0.7192182410423453
claude-sonnent-4.6,300,425,0.7058823529411765,219,363,0.6033057851239669,195,340,0.5735294117647058,714,1128,0.6329787234042553
