model,SPSR_correct,SPSR_total,SPSR_ratio,SPMR_correct,SPMR_total,SPMR_ratio,MPMR_correct,MPMR_total,MPMR_ratio,ALL_correct,ALL_total,ALL_ratio
doc__qwen3.5-122b-a10b,567,749,0.7570093457943925,413,556,0.7428057553956835,218,318,0.6855345911949685,1198,1623,0.738139248305607
doc__qwen3.5-27b,521,749,0.6955941255006676,414,556,0.7446043165467626,214,318,0.6729559748427673,1149,1623,0.7079482439926063
doc__gpt5.2,510,749,0.6809078771695594,62,125,0.496,0,0,0.0,572,874,0.6544622425629291
doc__qwen3-vl-235b-a22b-instruct,445,749,0.5941255006675568,209,556,0.37589928057553956,0,318,0.0,654,1623,0.4029574861367837
doc__qwen3.5-397b-a17b,14,40,0.35,0,0,0.0,0,0,0.0,14,40,0.35
doc__ernie-5.0,191,749,0.25500667556742324,114,556,0.20503597122302158,80,318,0.25157232704402516,385,1623,0.23721503388786197
doc__qwen3-vl-32b-instruct,125,749,0.16688918558077437,81,556,0.14568345323741008,56,318,0.1761006289308176,262,1623,0.1614294516327788
doc__internvl3-38b,84,749,0.11214953271028037,46,556,0.08273381294964029,36,318,0.11320754716981132,166,1623,0.10227972889710413
doc__qwen3-vl-8b-instruct,83,749,0.11081441922563418,33,556,0.05935251798561151,35,318,0.11006289308176101,151,1623,0.09303758471965495
